Participant,Scenario,Segment,Channel,Brain_PC1,Brain_PC2,Brain_PC3,Brain_PC4,Brain_PC5,Brain_PC6,Brain_PC7,Brain_PC8,Brain_PC9,Brain_PC10,BATTERY_mean,BATTERY_std
1_(16),Complex Mathematical Problem solving (CMPS),Segment_3,Pz,1.9965257989041663,-1.303697958218073,-0.7979004239423363,1.49025194681936,-0.8090643880537409,-0.5019048758089567,0.02565085252805484,0.6849634911230226,0.769501572023374,-0.5468269075275961,1.0000000000000002e-06,2.117582368135752e-22
1_(16),Complex Mathematical Problem solving (CMPS),Segment_3,T8,2.120076392028434,-1.3724914557550074,-0.7311213393577692,1.398537965410932,-0.9137818786086915,-0.6488168456096055,0.02397182199571714,0.6558980692090031,0.8020658528091352,-0.5037501339779031,1.0000000000000002e-06,2.117582368135752e-22
1_(16),Complex Mathematical Problem solving (CMPS),Segment_3,AF4,1.9957435329885285,-1.2994171990040446,-0.7966562317851774,1.4937424504422234,-0.8162511132525978,-0.4960527135540565,0.030683553193412382,0.6688530538914123,0.7578698228823905,-0.5931025307176763,1.0000000000000002e-06,2.117582368135752e-22
002_(18),Horrer Video Stimulation,Segment_1,AF3,-2.550081427699807,2.435340566817917,-0.7513831266809621,-0.6240389898101505,0.4154728689742078,-0.8115895401554831,0.5140512643190409,-2.050851736947205,0.11762125910682092,-0.6813574247975217,1.0000000000000002e-06,2.117582368135752e-22
002_(18),Horrer Video Stimulation,Segment_1,T7,-4.087995296073396,3.149395041401974,-1.650091763091981,0.36633827675230846,2.0043256339249123,0.7905894196284938,0.39750736051368857,-1.1206049322693157,0.12217295876591383,0.4119181299321667,1.0000000000000002e-06,2.117582368135752e-22
002_(18),Horrer Video Stimulation,Segment_1,Pz,-2.1963114754499022,2.235875134384765,-0.5574235357122874,-0.8569676812562717,0.1212514765766238,-1.2075673038772692,0.46592119671091253,-2.094925854078375,0.22457991092768784,-0.47243900670044725,1.0000000000000002e-06,2.117582368135752e-22
002_(18),Horrer Video Stimulation,Segment_1,T8,-2.3731568378884966,2.3382823875576713,-0.6529256538823323,-0.7371842682989819,0.26415718799232263,-1.0031912207628604,0.49406703712789724,-2.084762668222426,0.1644773251169675,-0.6084404436979256,1.0000000000000002e-06,2.117582368135752e-22
002_(18),Horrer Video Stimulation,Segment_1,AF4,-2.537686545083861,2.4264470697590204,-0.745005830829635,-0.633889090667282,0.4087582389149372,-0.8287688337615748,0.5081856032222968,-2.043150029434626,0.12892847264585106,-0.6478471626120774,1.0000000000000002e-06,2.117582368135752e-22
002_(18),Horrer Video Stimulation,Segment_2,AF3,0.21438335900836433,1.5222778263826988,0.4084668846430243,-0.07878044988289327,0.3542722564338668,-0.2703972284227517,0.048504333012899116,-0.38911465615103236,1.03420800498865,-0.4496857734777445,1.0000000000000002e-06,2.117582368135752e-22
002_(18),Horrer Video Stimulation,Segment_2,T7,-0.665958797994286,1.9592627107808804,-0.09911872198232398,0.4742719923755218,1.2064459003183776,0.6537144203583811,0.06893478887960433,-0.012101727107483504,0.940935976980105,-0.23426545475476085,1.0000000000000002e-06,2.117582368135752e-22
002_(18),Horrer Video Stimulation,Segment_2,Pz,0.35653976798973636,1.4425877639215852,0.48704363318768096,-0.18284091942309924,0.23154131800367744,-0.44425657053977946,0.031033011257870998,-0.40977869436559056,1.0805717736721863,-0.3707202827648614,1.0000000000000002e-06,2.117582368135752e-22
002_(18),Horrer Video Stimulation,Segment_2,T8,0.2799855138817564,1.489189942298687,0.4462417276135316,-0.12815408593130345,0.28927982881059716,-0.35087595751838063,0.04764469685143472,-0.4160042693325613,1.0454868115085243,-0.4600953500590861,1.0000000000000002e-06,2.117582368135752e-22
002_(18),Horrer Video Stimulation,Segment_2,AF4,0.20869292256417946,1.5197188662893764,0.40297802742175476,-0.07880672535615284,0.3686896456174488,-0.2739546715931141,0.03657554698380617,-0.360236956786087,1.0492084743651333,-0.37843677538572645,1.0000000000000002e-06,2.117582368135752e-22
002_(18),Horrer Video Stimulation,Segment_3,AF3,-0.48254571148547853,1.7705826830980085,-0.05282568312505224,-0.029900108969685774,0.6526736483167304,-0.43156587157196524,0.1675345908484403,-0.6355318503329288,1.1549060403674276,-0.8680523865919524,1.0000000000000002e-06,2.117582368135752e-22
